İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202602-17225;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İLETKEN TEL ÇEKİM;1.1;47.7;1.655;0.0;0.0;3.058;14.7;HÜSEYİN ÇELİK;OPR-1004;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;46;2705;256.98;1;115;10.93;1;1;1;1;47.7;1.7;30;50.31;54.35;92.58;25.32
WO-202602-17226;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;3.3;42.4;0.685;0.0;0.0;6.483;36.5;MEHMET DEMİR;OPR-1002;2026;2;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;47;14178;212.67;3;1072;16.08;1;1;1;1;42.4;0.7;45;100.0;88.57;94.89;84.05
WO-202602-17227;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;1.1;37.8;0.649;0.0;0.0;1.602;33.6;ALİ KAYA;OPR-1005;2026;2;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;Elektrolitik Bakır;33;3233;48.49;1;167;2.5;1;1;1;1;37.8;0.6;50;26.07;64.48;95.87;16.12
WO-202602-17228;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.9;16.9;0.72;0.0;0.0;0.502;77.6;HASAN AYDIN;OPR-2003;2026;2;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;16;2337;58.43;1;213;5.33;1;1;1;1;16.9;0.7;80;14.94;94.28;90.56;12.75
WO-202602-17229;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;1.1;19.0;0.838;0.0;0.0;3.805;26.8;OSMAN YILDIZ;OPR-2002;2026;2;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;21;6116;91.74;1;594;8.91;1;1;1;1;19.0;0.8;45;50.57;59.7;85.89;25.93
WO-202602-17230;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;4.5;46.8;0.497;0.0;0.0;4.833;36.9;HASAN AYDIN;OPR-2003;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;54;10700;160.5;4;900;13.5;1;1;1;1;46.8;0.5;45;56.75;80.36;93.24;42.52
WO-202602-17231;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;0.9;22.1;0.795;0.0;0.0;0.994;65.9;ALİ KAYA;OPR-1005;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;20;3931;98.28;1;269;6.73;1;1;1;1;22.1;0.8;80;24.39;78.71;92.34;17.73
WO-202602-17232;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;3.1;58.3;0.555;0.0;0.0;1.919;70.2;HASAN AYDIN;OPR-2003;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;54;8086;202.15;3;464;11.6;1;1;1;1;58.3;0.6;80;28.29;82.57;94.8;22.14
WO-202602-17233;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;0.0;12.1;0.813;0.35;0.0;0.469;72.2;OSMAN YILDIZ;OPR-2002;2026;2;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;11;2034;40.68;0;166;3.32;1;1;1;1;12.1;0.8;110;16.89;60.19;95.45;9.7
WO-202602-17234;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;6.0;51.1;0.472;0.0;0.0;1.561;83.5;MEHMET DEMİR;OPR-1002;2026;2;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;53;7827;195.68;6;1023;25.58;1;1;1;1;51.1;0.5;90;24.19;87.24;85.51;18.05
WO-202602-17235;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;2.1;23.5;0.483;0.0;0.0;0.281;139.7;AHMET YILMAZ;OPR-1001;2026;2;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;24;2356;18.85;2;244;1.95;1;1;1;1;23.5;0.5;130;9.75;94.49;88.78;8.18
WO-202602-17236;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;4.3;54.5;0.871;0.0;0.0;1.932;65.2;SÜLEYMAN KOÇ;OPR-2005;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;51;7554;188.85;4;696;17.4;1;1;1;1;54.5;0.9;80;36.32;72.52;86.22;22.71
WO-202602-17237;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;4.2;42.1;0.795;0.0;0.0;1.965;79.5;MEHMET DEMİR;OPR-1002;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;47;9374;234.35;4;826;20.65;1;1;1;1;42.1;0.8;80;33.69;90.7;93.73;28.64
WO-202602-17238;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;27.02.2026;CUMA;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;0.9;47.1;0.386;0.0;0.0;0.56;132.4;İSMAİL ÖZDEMİR;OPR-2001;2026;2;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;45;4447;35.58;1;153;1.22;1;1;1;1;47.1;0.4;120;11.48;100.0;94.1;10.81
WO-202602-17239;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;3.9;50.9;0.542;0.0;0.0;1.908;73.2;HASAN AYDIN;OPR-2003;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;56;8383;209.58;4;617;15.43;1;1;1;1;50.9;0.5;80;31.02;77.9;94.9;22.93
WO-202602-17240;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;2.1;44.7;0.313;0.0;0.479;1.601;133.8;AHMET YILMAZ;OPR-1001;2026;2;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;52;12850;102.8;2;650;5.2;1;1;1;1;44.7;0.3;120;23.7;100.0;92.46;21.91
WO-202602-17241;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;1.1;40.0;0.284;0.0;0.437;1.431;106.7;MUSTAFA ŞAHİN;OPR-1003;2026;2;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;37;9158;73.26;1;342;2.74;1;1;1;1;40.0;0.3;130;20.26;79.07;94.99;15.22
WO-202602-17242;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.7;39.0;0.55;0.0;0.133;1.598;24.3;İSMAİL ÖZDEMİR;OPR-2001;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;39;2328;34.92;3;192;2.88;1;1;1;1;39.0;0.5;40;30.43;64.92;93.22;18.42
WO-202602-17243;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;2.0;48.2;0.649;0.0;0.0;3.317;43.7;İSMAİL ÖZDEMİR;OPR-2001;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;44;8704;130.56;2;496;7.44;1;1;1;1;48.2;0.6;45;40.71;100.0;91.09;37.08
WO-202602-17244;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;3.2;45.5;0.51;0.0;0.0;3.995;25.9;ALİ KAYA;OPR-1005;2026;2;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;42;6214;93.21;3;536;8.04;1;1;1;1;45.5;0.5;40;54.0;66.59;90.63;32.59
WO-202602-17245;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İZOLASYON EKSTRÜZYON;1.0;24.2;0.839;1.056;0.0;1.506;89.0;MUSTAFA ŞAHİN;OPR-1003;2026;2;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;27;8041;160.82;1;499;9.98;1;1;1;1;24.2;0.8;110;33.05;72.85;91.78;22.1
WO-202602-17246;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;1.7;27.8;0.487;0.0;0.0;0.794;32.5;HASAN AYDIN;OPR-2003;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;26;1548;23.22;2;132;1.98;1;1;1;1;27.8;0.5;45;18.09;62.51;93.78;10.61
WO-202602-17247;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.8;37.3;0.515;0.0;0.0;5.754;37.8;MUSTAFA ŞAHİN;OPR-1003;2026;2;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;43;13060;195.9;3;970;14.55;1;1;1;1;37.3;0.5;50;91.16;76.18;92.37;64.15
WO-202602-17248;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.9;35.7;0.389;0.0;0.0;1.378;81.7;OSMAN YILDIZ;OPR-2002;2026;2;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;34;6753;54.02;2;447;3.58;1;1;1;1;35.7;0.4;130;19.03;54.74;91.06;9.49
WO-202602-17249;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.1;25.3;0.533;0.546;0.0;0.986;72.7;MEHMET DEMİR;OPR-1002;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;4297;107.43;2;353;8.83;1;1;1;1;25.3;0.5;80;19.13;92.25;87.15;15.38
WO-202602-17250;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.3;50.6;0.806;0.0;0.0;3.022;39.5;HÜSEYİN ÇELİK;OPR-1004;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;48;7153;107.3;3;497;7.46;1;1;1;1;50.6;0.8;45;40.02;79.13;91.13;28.86
WO-202602-17251;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;1.9;30.4;0.8;0.732;0.0;2.792;40.4;HÜSEYİN ÇELİK;OPR-1004;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;34;6767;101.5;2;433;6.5;1;1;1;1;30.4;0.8;40;39.09;92.11;93.43;33.64
WO-202602-17252;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;2.1;36.4;0.597;0.0;0.0;2.165;27.7;ALİ KAYA;OPR-1005;2026;2;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;Elektrolitik Bakır;36;3595;53.92;2;205;3.07;1;1;1;1;36.4;0.6;40;36.38;59.4;89.89;19.43
WO-202602-17253;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;0.9;10.7;1.478;0.0;0.0;0.855;12.5;İBRAHİM ÖZTÜRK;OPR-2004;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;11;641;60.9;1;79;7.5;1;1;1;1;10.7;1.5;30;30.53;40.02;91.55;11.19
WO-202602-17254;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;2.0;27.7;0.614;0.0;0.0;0.832;85.4;HASAN AYDIN;OPR-2003;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;4262;106.55;2;388;9.7;1;1;1;1;27.7;0.6;90;15.37;100.0;92.2;14.17
WO-202602-17255;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İZOLASYON EKSTRÜZYON;3.0;27.3;1.525;0.0;0.0;2.361;12.0;HÜSEYİN ÇELİK;OPR-1004;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;29;1700;161.5;3;220;20.9;1;1;1;1;27.3;1.5;30;48.53;43.23;88.39;18.54
WO-202602-17256;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;1.0;33.0;0.532;0.0;0.0;0.425;133.9;AHMET YILMAZ;OPR-1001;2026;2;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;35;3412;27.3;1;188;1.5;1;1;1;1;33.0;0.5;120;12.34;100.0;93.02;11.48
WO-202602-17257;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;1.1;30.4;0.794;0.0;0.0;22.849;24.9;İSMAİL ÖZDEMİR;OPR-2001;2026;2;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;FO-SM-9;Fiber Optik Single Mode;35;34193;512.89;1;1807;27.11;1;1;1;1;30.4;0.8;40;100.0;53.33;96.34;51.38
WO-202602-17258;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.9;18.8;0.753;0.0;0.0;0.666;69.4;ALİ KAYA;OPR-1005;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;19;2772;69.3;1;228;5.7;1;1;1;1;18.8;0.8;80;19.0;85.7;94.73;15.43
WO-202602-17259;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;5.2;48.2;0.859;0.0;0.0;2.411;33.5;SÜLEYMAN KOÇ;OPR-2005;2026;2;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;49;4840;72.6;6;660;9.9;1;1;1;1;48.2;0.9;40;43.83;74.27;91.11;29.66
WO-202602-17260;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İLETKEN TEL ÇEKİM;1.8;26.3;1.508;0.0;0.0;1.837;16.1;HÜSEYİN ÇELİK;OPR-1004;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;30;1771;168.25;2;149;14.15;1;1;1;1;26.3;1.5;30;47.34;56.17;93.8;24.94
WO-202602-17261;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;5.6;46.8;0.421;0.873;0.0;1.687;134.4;AHMET YILMAZ;OPR-1001;2026;2;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;AL-1350;Alüminyum Alaşım;55;13607;108.86;5;1393;11.14;1;1;1;1;46.8;0.4;120;29.56;100.0;90.04;26.62
WO-202602-17262;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;2.0;35.7;0.333;0.0;0.0;1.864;81.2;OSMAN YILDIZ;OPR-2002;2026;2;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;37;9083;72.66;2;667;5.34;1;1;1;1;35.7;0.3;120;24.99;66.93;88.59;14.82
WO-202602-17263;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;0.0;15.8;0.846;0.0;0.0;0.335;66.0;HASAN AYDIN;OPR-2003;2026;2;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;14;1324;33.1;0;76;1.9;1;1;1;1;15.8;0.8;80;12.37;86.23;97.4;10.39
WO-202602-17264;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;3.4;23.8;0.686;0.0;0.0;0.848;75.2;HASAN AYDIN;OPR-2003;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;26;3828;95.7;3;522;13.05;1;1;1;1;23.8;0.7;80;21.58;82.99;90.83;16.26
WO-202602-17265;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;3.8;59.8;0.574;1.485;0.0;2.519;36.6;HASAN AYDIN;OPR-2003;2026;2;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;56;5531;82.97;4;469;7.04;1;1;1;1;59.8;0.6;40;44.98;91.72;93.08;38.4
WO-202602-17266;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;0.0;10.9;0.527;0.0;0.0;0.404;77.6;HASAN AYDIN;OPR-2003;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;10;1880;47.0;0;120;3.0;1;1;1;1;10.9;0.5;80;11.42;100.0;93.04;10.62
WO-202602-17267;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;2.0;35.9;0.58;0.0;0.0;1.676;71.3;ALİ KAYA;OPR-1005;2026;2;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;36;7175;179.38;2;425;10.62;1;1;1;1;35.9;0.6;80;30.57;79.79;96.56;23.55
WO-202602-17268;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İZOLASYON EKSTRÜZYON;2.9;46.0;1.392;0.0;0.0;2.36;19.9;İBRAHİM ÖZTÜRK;OPR-2004;2026;2;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;47;2817;267.62;3;183;17.39;1;1;1;1;46.0;1.4;30;50.88;72.37;96.81;35.65
WO-202602-17269;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;28.02.2026;CUMARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;5.2;47.2;0.719;0.0;0.0;1.482;72.7;MEHMET DEMİR;OPR-1002;2026;2;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;44;6468;161.7;5;882;22.05;1;1;1;1;47.2;0.7;80;23.14;81.31;91.07;17.14
WO-202603-17270;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;1.1;54.8;0.212;0.0;0.0;0.566;139.5;İSMAİL ÖZDEMİR;OPR-2001;2026;3;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;48;4736;37.89;1;164;1.31;1;1;1;1;54.8;0.2;130;8.0;100.0;95.06;7.6
WO-202603-17271;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;0.0;36.4;0.392;0.0;0.0;1.53;134.4;AHMET YILMAZ;OPR-1001;2026;3;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;42;12336;98.69;0;264;2.11;1;1;1;1;36.4;0.4;120;27.46;100.0;95.98;26.35
WO-202603-17272;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;1.1;22.3;0.732;0.0;0.0;1.43;44.9;HASAN AYDIN;OPR-2003;2026;3;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;20;3855;57.82;1;345;5.17;1;1;1;1;22.3;0.7;45;27.92;98.59;93.93;25.85
WO-202603-17273;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;2.9;40.7;0.781;0.0;0.0;1.33;49.8;HÜSEYİN ÇELİK;OPR-1004;2026;3;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;40;3972;59.58;3;328;4.92;1;1;1;1;40.7;0.8;45;30.44;100.0;93.82;28.56
WO-202603-17274;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;0.0;10.7;0.654;0.0;0.0;5.837;30.0;İBRAHİM ÖZTÜRK;OPR-2004;2026;3;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;FO-SM-9;Fiber Optik Single Mode;11;10505;157.57;0;495;7.42;1;1;1;1;10.7;0.7;40;81.96;70.18;96.73;55.64
WO-202603-17275;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İZOLASYON EKSTRÜZYON;4.1;37.0;1.642;1.329;0.0;2.823;15.1;İBRAHİM ÖZTÜRK;OPR-2004;2026;3;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;43;2562;243.39;4;258;24.51;1;1;1;1;37.0;1.6;30;52.13;56.36;93.33;27.42
WO-202603-17276;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.03.2026;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;1.0;17.0;0.366;0.15;0.0;0.407;138.8;MEHMET DEMİR;OPR-1002;2026;3;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;17;3391;27.13;1;209;1.67;1;1;1;1;17.0;0.4;130;9.59;100.0;95.93;9.2
